"","ABA.test.Producto","NO","SI"
"1","EQUIPO CONTRATISTA",100,0
"2","EQUIPO CONTRATISTA",100,0
"3","EQUIPO CONTRATISTA",100,0
"4","EQUIPO CONTRATISTA",100,0
"5","EQUIPO CONTRATISTA",100,0
"6","EQUIPO CONTRATISTA",100,0
"7","EQUIPO CONTRATISTA",100,0
"8","EQUIPO CONTRATISTA",100,0
"9","EQUIPO CONTRATISTA",100,0
"10","EQUIPO CONTRATISTA",100,0
"11","EQUIPO CONTRATISTA",100,0
"12","EQUIPO CONTRATISTA",100,0
"13","EQUIPO CONTRATISTA",100,0
"14","EQUIPO CONTRATISTA",100,0
"15","EQUIPO CONTRATISTA",100,0
"16","EQUIPO CONTRATISTA",100,0
"17","EQUIPO CONTRATISTA",100,0
"18","EQUIPO CONTRATISTA",100,0
"19","EQUIPO CONTRATISTA",100,0
"20","EQUIPO CONTRATISTA",100,0
"21","EQUIPO CONTRATISTA",100,0
"22","EQUIPO CONTRATISTA",100,0
"23","EQUIPO CONTRATISTA",100,0
"24","EQUIPO CONTRATISTA",100,0
"25","EQUIPO CONTRATISTA",100,0
"26","EQUIPO CONTRATISTA",100,0
"27","EQUIPO CONTRATISTA",100,0
"28","EQUIPO CONTRATISTA",100,0
"29","EQUIPO CONTRATISTA",100,0
"30","EQUIPO CONTRATISTA",100,0
"31","EQUIPO CONTRATISTA",100,0
"32","EQUIPO CONTRATISTA",100,0
"33","EQUIPO CONTRATISTA",100,0
"34","EQUIPO CONTRATISTA",100,0
"35","EQUIPO CONTRATISTA",100,0
"36","EQUIPO CONTRATISTA",100,0
"37","EQUIPO CONTRATISTA",100,0
"38","EQUIPO CONTRATISTA",100,0
"39","EQUIPO CONTRATISTA",100,0
"40","EQUIPO CONTRATISTA",100,0
"41","EQUIPO CONTRATISTA",100,0
"42","EQUIPO CONTRATISTA",100,0
"43","EQUIPO CONTRATISTA",100,0
"44","EQUIPO CONTRATISTA",100,0
"45","EQUIPO CONTRATISTA",100,0
"46","EQUIPO CONTRATISTA",100,0
"47","EQUIPO CONTRATISTA",100,0
"48","EQUIPO CONTRATISTA",100,0
"49","EQUIPO CONTRATISTA",100,0
"50","EQUIPO CONTRATISTA",100,0
"51","EQUIPO CONTRATISTA",100,0
"52","EQUIPO CONTRATISTA",100,0
"53","EQUIPO CONTRATISTA",100,0
"54","EQUIPO CONTRATISTA",100,0
"55","EQUIPO CONTRATISTA",100,0
"56","EQUIPO CONTRATISTA",100,0
"57","EQUIPO CONTRATISTA",100,0
"58","EQUIPO CONTRATISTA",100,0
"59","EQUIPO CONTRATISTA",100,0
"60","EQUIPO CONTRATISTA",100,0
"61","EQUIPO CONTRATISTA",100,0
"62","EQUIPO CONTRATISTA",100,0
"63","EQUIPO CONTRATISTA",100,0
"64","EQUIPO CONTRATISTA",100,0
"65","EQUIPO CONTRATISTA",100,0
"66","EQUIPO CONTRATISTA",100,0
"67","EQUIPO CONTRATISTA",100,0
"68","EQUIPO CONTRATISTA",100,0
"69","EQUIPO CONTRATISTA",100,0
"70","EQUIPO CONTRATISTA",100,0
"71","EQUIPO CONTRATISTA",100,0
"72","EQUIPO CONTRATISTA",100,0
"73","EQUIPO CONTRATISTA",100,0
"74","EQUIPO CONTRATISTA",100,0
"75","EQUIPO CONTRATISTA",100,0
"76","EQUIPO CONTRATISTA",100,0
"77","EQUIPO CONTRATISTA",100,0
"78","EQUIPO CONTRATISTA",100,0
"79","EQUIPO CONTRATISTA",100,0
"80","EQUIPO CONTRATISTA",100,0
"81","EQUIPO CONTRATISTA",100,0
"82","EQUIPO CONTRATISTA",100,0
"83","EQUIPO CONTRATISTA",100,0
"84","EQUIPO CONTRATISTA",100,0
"85","EQUIPO CONTRATISTA",100,0
